City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,meulaboh,4.1363,96.1285,296.84,93,100,3.09,ID,1724371878
181,tikhvin,59.6451,33.5294,288.04,91,12,3.06,RU,1724371879
182,choibalsan,48.0667,114.5,290.99,79,100,3.69,MN,1724371880
183,vila franca do campo,37.7167,-25.4333,297.38,84,0,2.9,PT,1724371882
184,isafjordur,66.0755,-23.124,276.05,90,100,9.91,IS,1724371883
185,paris,48.8534,2.3488,292.67,69,0,4.12,FR,1724371666
186,elwood,-37.8817,144.983,289.66,71,100,2.68,AU,1724371886
187,lihue,21.9789,-159.3672,301.92,63,75,6.17,US,1724371843
188,ciudad lazaro cardenas,17.9583,-102.2,302.04,75,95,3.26,MX,1724371754
189,bolintin vale,44.4489,25.7578,298.01,46,56,4.09,RO,1724371890
190,ray,23.6833,85.05,297.52,89,100,2.0,IN,1724371891
191,pumiao,22.75,108.4833,300.0,86,98,2.21,CN,1724371893
192,chinde,26.8212,87.7095,297.02,94,88,1.25,NP,1724371894
193,lompoc,34.6391,-120.4579,294.55,65,0,6.69,US,1724371896
194,basco,20.4487,121.9702,302.45,75,14,2.96,PH,1724371897
195,bumba,2.1833,22.4667,294.73,96,100,1.0,CD,1724371898
196,alofi,-19.0595,-169.9187,298.09,78,75,7.72,NU,1724371900
197,donaldsonville,30.101,-90.9929,305.38,53,54,3.18,US,1724371759
198,tual,-5.6667,132.75,298.67,89,100,7.9,ID,1724371902
199,callao,-12.0667,-77.15,289.66,82,100,5.14,PE,1724371904
200,nilgiri,21.4581,86.7669,299.31,88,100,2.94,IN,1724371905
201,jacksonville,30.3322,-81.6557,299.82,84,100,7.2,US,1724371632
202,takab,36.4009,47.1133,293.71,29,36,2.07,IR,1724371907
203,colonia,50.9333,6.95,292.57,64,0,3.6,DE,1724371909
204,saratamata,50.9333,6.95,292.57,64,0,3.6,DE,1724371909
205,brookings,44.3114,-96.7984,298.25,73,20,6.17,US,1724371648
206,hermanus,-34.4187,19.2345,284.15,55,24,4.52,ZA,1724371913
207,bandarbeyla,9.4942,50.8122,298.88,73,78,10.61,SO,1724371914
208,kerikeri,-35.2268,173.9474,291.43,70,80,5.36,NZ,1724371915
209,tommot,58.9564,126.2925,289.77,75,2,0.52,RU,1724371917
210,mount pearl,47.5241,-52.7838,286.49,89,24,0.45,CA,1724371656
211,ivdel',60.6911,60.4206,284.82,85,88,1.44,RU,1724371919
212,tanki leendert,60.6911,60.4206,284.82,85,88,1.44,RU,1724371921
213,fort bragg,35.139,-79.006,295.82,60,4,2.86,US,1724371923
214,katsuren-haebaru,26.3369,127.8719,304.36,82,20,2.57,JP,1724371924
215,nishinoomote,30.7333,131.0,302.46,89,75,2.57,JP,1724371925
216,ouesso,1.6136,16.0517,296.52,81,98,1.04,CG,1724371927
217,khemis miliana,36.261,2.2202,299.63,50,71,1.07,DZ,1724371928
218,mili,6.0815,171.735,301.36,73,58,1.81,MH,1724371929
219,kas,36.2018,29.6377,298.86,85,0,1.29,TR,1724371930
220,alenquer,-1.9417,-54.7383,301.3,48,52,2.07,BR,1724371932
221,klaksvik,62.2266,-6.589,283.07,81,33,11.41,FO,1724371933
222,port alfred,-33.5906,26.891,284.92,81,98,2.68,ZA,1724371934
223,praia da vitoria,38.7333,-27.0667,298.57,89,35,2.84,PT,1724371936
224,new norfolk,-42.7826,147.0587,287.99,80,93,4.66,AU,1724371937
225,espargos,-42.7826,147.0587,287.99,80,93,4.66,AU,1724371937
226,nemuro,43.3236,145.575,293.27,93,100,12.15,JP,1724371940
227,newman,37.3138,-121.0208,300.95,40,0,3.58,US,1724371941
228,north shore,-36.8,174.75,291.19,66,90,5.81,NZ,1724371942
229,bati,11.1833,40.0167,291.53,83,69,2.62,ET,1724371944
230,howard springs,-12.497,131.047,300.1,91,34,2.32,AU,1724371945
231,jindabyne,-36.4167,148.6333,285.14,57,97,0.45,AU,1724371946
232,manavalakurichi,8.1333,77.3,298.06,99,99,3.45,IN,1724371948
233,saldanha,-33.0117,17.9442,287.02,44,1,3.86,ZA,1724371949
234,hammerfest,70.6634,23.6821,290.4,82,64,4.12,NO,1724371950
235,lushun,38.8,121.2667,300.27,75,1,2.64,CN,1724371952
236,lebu,-37.6167,-73.65,280.65,84,100,2.44,CL,1724371953
237,burang,30.25,81.1667,281.87,83,99,2.05,CN,1724371845
238,tura,25.5198,90.2201,296.69,97,100,1.96,IN,1724371955
239,mae tha,18.4646,99.1403,295.44,99,100,0.32,TH,1724371957
240,gongzhuling,43.5008,124.8198,293.46,83,2,1.91,CN,1724371958
241,lingyuan,41.24,119.4011,295.33,79,72,0.48,CN,1724371960
242,pithapuram,17.1167,82.2667,299.14,88,98,1.75,IN,1724371961
243,cedeira,43.6797,-8.0209,294.25,86,99,5.7,ES,1724371962
244,kudahuvadhoo,2.6708,72.8944,300.49,78,92,2.74,MV,1724371963
245,tateyama,34.9833,139.8667,300.93,81,80,5.22,JP,1724371965
246,selkirk,50.1436,-96.8845,298.81,71,63,1.34,CA,1724371966
247,arzgir,45.3728,44.2206,296.4,47,52,3.04,RU,1724371967
